step_id,section,entry_type,field,value,updated_at
s1,t1.2,deliverable_text,text,"【三维度评估报告】**

#### **1. 学术贡献评估**
*   **理论创新**：**极高**。这三部著作共同构成了理解当代中国基层政权运作的“黄金三角”。
    *   **张静**的《基层政权》从**制度与行为的关系**切入，提出了“制度是如何在实践中被变通、消解或重构的”核心命题，其“制度-生活”分析框架具有开创性。
    *   **吴毅**的《小镇喧嚣》是**政治人类学“深描”** 的典范，通过戏剧化的叙事，极致呈现了基层政府、村干部与农民在具体事件中的复杂互动、博弈与共谋，揭示了非正式规则的强大力量。
    *   **赵树凯**的《乡镇治理与政府制度化》则从**体制内视角**出发，基于大量内部观察，系统分析了乡镇政府的结构、功能、困境与改革逻辑，提供了“自上而下”的权威解剖。
    *   **整体贡献**：它们分别从**制度理论、微观政治、组织结构**三个维度，打破了西方“国家-社会”二元对立的简单框架，提出了基于中国经验的、更具动态性和复杂性的分析范式，对全球比较政治学和国家理论均有重要补充。

*   **方法论价值**：**突出**。三部作品均以长期的、深度的田野调查为基础。尤其是《小镇喧嚣》的叙事民族志方法，在中文社会科学写作中独树一帜，其方法论本身就能引起国际学界的方法论讨论。它们共同展示了质性研究在揭示政治过程“黑箱”方面的强大力量。

*   **资料与实证**：**极为珍贵**。基于上世纪90年代至21世纪初的田野，它们捕捉了中国基层政治在税费改革、市场经济深化等关键历史节点的原始状态。这些**历史性田野资料**如今已不可复得，构成了独一无二的中国政治社会变迁档案。

*   **跨学科意义**：**显著**。能够强力连接**政治学、社会学、人类学、公共行政学**以及**中国研究**领域，为研究国家建构、基层治理、官僚制、制度变迁等普遍议题提供来自中国的、丰富的经验案例和理论对话点。

#### **2. 国际读者需求评估**
*   **议题的全球相关性**：**高**。基层治理、国家能力、官僚行为、制度执行是全球政治学和社会学的核心议题。中国作为一个超大规模国家的治理经验，本身就是国际学界极度关注的案例。这三本书提供了西方学者通常难以触及的、来自中国基层内部的、细腻的“政治过程”图景。

*   **英语学术市场的缺口**：**存在明确缺口**。目前英文世界关于中国基层政治的研究，多为专题性论文或基于较短调研的著作。像《小镇喧嚣》这样耗时一年、沉浸式描摹乡镇政治全貌的“民族志史诗”，在英文中国研究著作中**几乎空白**。将这三部经典同时译介，可以系统性地填补这一深度叙事和理论建构的空白。

*   **课程适配潜力**：**强**。非常适合作为欧美高校以下课程的教材或补充读物：
    *   《中国政治与社会》
    *   《比较政治学》
    *   《发展研究》
    *   《政治人类学》
    *   《公共行政与地方治理》
    *   《质性研究方法》

*   **读者群体定位**：
    *   **核心读者**：中国研究、比较政治学、政治社会学、人类学领域的研究学者、博士生。
    *   **次级读者**：关注中国治理、乡村发展、政治经济的政策制定者（如国际组织、智库、外交部门）、记者及资深中国观察家。
    *   **潜在读者**：对叙事性学术作品感兴趣的知识型大众读者（《小镇喧嚣》尤其具备此潜力）。

#### **3. 出版风险提示**
*   **政治与敏感性**：**中度风险，但可管理**。内容涉及基层矛盾、政府行为失范、制度非正式运作等，属于“敏感但学术”范畴。关键在于：
    1.  **翻译与表述**：需确保学术语言的客观、精准，避免情绪化或新闻化表述。
    2.  **导读与框架**：邀请国际知名学者撰写长篇导读，将作品置于全球学术对话中，强调其理论贡献而非单纯“暴露问题”。
    3.  **出版社选择**：首选在出版中国研究方面有丰富经验、信誉良好的顶尖大学出版社（如斯坦福、剑桥、加州大学等）或专业学术出版社（如Routledge, Brill）。它们更善于处理此类内容并拥有稳定的读者渠道。
*   **市场接受度**：**风险较低，但属专业市场**。这是经典的学术出版，非大众畅销书。初始销量不会爆炸，但因其经典地位和教学价值，具备**长销书**的潜质。作为丛书推出，更能形成品牌效应。
*   **写作与翻译质量**：**关键风险与挑战**。这是项目成败的核心。
    *   **张静**的作品理论性强，需译者有深厚的政治学理论素养。
    *   **吴毅**的作品充满方言、俗语和生动场景，翻译难度最大，需译者兼具文学功底和社会科学洞察力。
    *   **赵树凯**的作品平实但内含大量体制内术语，需准确转化。
    *   **建议**：必须聘请母语为英语、且在中国研究领域有卓越翻译经验的汉学家或学者主导翻译（例如，联系《翻身》、《中国女工》等书的译者）。翻译经费应列为项目首要预算。
*   **时效性风险**：**低**。因其记录的是特定历史时期并已沉淀为学术经典，其价值在于**历史深度和理论穿透力**，而非对当前政策的解读。2018年的修订版也确保了其学术框架的更新。",2026-02-23T21:44:33.408225
s1,t1.2,field,project_name,中国基层政治相关书籍国际出版项目,2026-02-23T21:44:33.408225
s1,t1.2,field,objective_specific,出版一本有关中国基层政治的书,2026-02-23T21:44:33.408225
s1,t1.2,field,objective_measurable,术语表、译稿、外方出版社意向函,2026-02-23T21:44:33.408225
s1,t1.2,field,objective_achievable,翻译一本书并完成投稿,2026-02-23T21:44:33.408225
s1,t1.2,field,objective_relevant,三人团队,2026-02-23T21:44:33.408225
s1,t1.2,field,objective_timebound,8个月,2026-02-23T21:44:33.408225
s1,t1.2,field,budget_total,20000,2026-02-23T21:44:33.408225
s1,t1.2,field,scope_and_risks,"范围
本项目旨在获得《基层政权》、《小镇喧嚣》、《乡镇治理与政府制度化》 三部著作中其中一本的英文版权，并完成高质量学术翻译，最终目标是与一家国际顶尖学术出版社签署出版合同。

风险
主要风险可分为八类：版权与合同、政治与声誉、诽谤与隐私、事实核查、翻译与学术可读性、市场与定位、时效性与可更新性、渠道与合规。

1) 版权与合同链路风险（最先卡住项目）

翻译权属于著作权人/权利人专有授权，必须取得明确授权与授权范围（语种、地域、期限、电子书/有声书、二次许可等）。
三本书很可能涉及多方权利主体（作者、原出版机构、修订版增补内容、插图/表格/第三方材料），如果权利分散或历史合同不清晰，会导致尽调与签约周期拉长、甚至交易失败。该风险属于国际版权交易常见结构性问题，且翻译属于改编/演绎的一种法律意义上的再利用。

2) 政治敏感与声誉风险（编辑与市场端的“可出版性”门槛）
这三本都聚焦乡镇与基层权力运作，海外出版社常会评估其内容是否会引发政治争议、被贴上意识形态标签，或被简化为“揭黑/辩护”叙事，从而影响审稿、市场进入与作者安全感。此类风险不一定来自文本错误，而来自议题本身的高敏感度与传播环境的不确定性。

3) 诽谤与隐私风险（个案叙事与人物描写更突出）

若书中包含可识别个体或机构的负面事实陈述、指控性表达、或可被推断身份的细节，英文版发行后可能面对诽谤诉讼或律师函。英格兰与威尔士的《2013年诽谤法》设置“严重损害”门槛，但并不消除风险，尤其在跨境传播与二次报道条件下。

美国法下对公众人物通常需要证明“实际恶意”，门槛较高，但出版机构仍需做法律审核与风险控制。

4) 事实核查与材料可追溯风险（学术信誉与法律风险的交叉点）

基层治理研究往往依赖访谈、田野记录、内部材料与地方文件。英文出版后，读者与评审更可能追问：材料来源是否可验证、匿名处理是否充分、引用是否能在学术规范下复核。任何“不可核查的关键断言”都会同时抬升学术争议与法律风险。

5) 翻译与学术可读性风险（概念等价、制度语境与叙事风格）

核心术语（乡镇、编制、条块、维稳、信访、集体土地、财政包干/转移支付等）很难一一对应英语制度语汇，若处理不当，会造成“看似流畅但概念错位”，直接影响课程采用与同行引用。

田野叙事类文本（尤其《小镇喧嚣》这一类写法）还面临叙事节奏、语气与隐含判断在英文语境中被误读的问题，导致读者把解释性叙述当作价值判断。

6) 海外市场与定位风险（需求存在，但赛道拥挤、购买动机分化）

英语世界关于中国地方治理已经有成熟书系与手册、专著占据“教材/参考书”心智位，例如地方治理研究专著、地方治理手册、城市社区治理与农村抗争经典研究等。译著若不能清晰说明相对这些英文既有作品的新增价值，容易被归为“又一本地方治理书”，影响立项与营销。
同时，学术市场规模相对有限，出版社通常要求明确的课程适配与可引用性路径，否则会被认为回报不确定。

7) 时效性与版本风险（治理体制与政策实践变化快）

三本书的经验材料与制度描述可能对应特定时期的政策环境。海外读者常会用“当下中国治理”来阅读它们，若不在前言/导论中清晰标注时段、解释哪些机制具有跨期稳定性，可能被批评为过时或情境依赖过强，影响学术评价与课程采用。

8) 渠道与合规风险（尤其涉及地图、行政区、数据与引用许可）

英文版在不同市场发行时，可能遇到平台或渠道对地名、地图、行政区标注、数据来源许可的额外要求；同时，若引用了第三方表格、图像、长段落资料，需逐项补齐许可，否则会在排版后期被迫删改，增加成本并延误出版。",2026-02-23T21:44:33.408225
s1,t1.2,field,person_name_1771854259044,周大强,2026-02-23T21:44:33.408225
s1,t1.2,field,person_role_1771854259044,项目经理,2026-02-23T21:44:33.408225
s2,t2.1,deliverable_text,text,"根据《伯尔尼公约》，三作品自在中国创作完成起即享有成员国版权保护。在寻求授权时，应重点关注授权合同中对适用法律（如中国法、新加坡法等）、管辖法院及授权地域（如全球、大中华区除外等）的约定，这些是评估项目法律风险的关键。为此，对本项目三本书籍分别进行版权权利链条报告汇报。具体情况如下。

报告一：张静《基层政权：乡村制度诸问题（2018年修订版）》

1) 调查目标

核验该书是否已存在海外出版的英文版（整本译著/英文版图书），并梳理可见的权利链节点。

2) 标的作品信息（中文原版）

书名：基层政权：乡村制度诸问题（2018年修订版）

作者：张静

出版方（公开页面显示）：社会科学文献出版社（Pishu/社科文献）

ISBN：978-7-5201-3718-8

页面显示出版时间：2019年01月

页面同时给出英文书名字段：PROBLEMS OF RURAL LEVEL GOVERNANCE IN CHINA（该字段本身不等同于“英文版已出版”，但可作为对外传播用英文题名线索）。

3) 检索范围与方法（公开信息）

以中文书名/作者名、英文题名关键词（Primary-Level Government / Rural Governance / Zhang Jing）进行交叉检索；

重点覆盖：海外学术出版社平台、ISBN/书目页、中文出版社书目页。

4) 核验结果：已发现海外英文版（整本）

检索到该书对应的英文版图书条目，信息要点如下（以出版社平台为准）：

英文书名：Primary-Level Government: Issues in Rural Governance in China

作者（Authors）：Jing Zhang

译者（Translated by）：Xiaoyan Li

海外出版方（Publisher）：Palgrave Macmillan Singapore（Springer Nature 平台）

DOI：10.1007/978-981-96-6209-8

版权信息字段显示：Copyright Information: Social Sciences Academic Press 2025

ISBN 与时间：

Hardcover ISBN 978-981-96-6208-1（Published: 09 July 2025）

eBook ISBN 978-981-96-6209-8（Published: 08 July 2025）

Softcover ISBN 978-981-96-6211-1（Due: 23 July 2026）

结论（就“是否已有海外英文版出版”）：是。 至少在 2025 年已由 Palgrave Macmillan Singapore（Springer Nature）以英文版形式上架/出版（电子版与精装）。

5) 公开信息可推断的权利链节点（待合同核实）

以下为“基于行业常识 + 页面线索”的权利链推断，不替代合同审阅。

原始著作权人（推定）：作者张静（自然人著作权），除非合同另有约定。

中文出版权/发行链节点（可见）：社会科学文献出版社出版中文修订版（对应 ISBN 978-7-5201-3718-8）。

英文版链节点（可见）：Palgrave Macmillan Singapore 出版英文版；译者为 Xiaoyan Li。英文版页面出现 “Copyright Information: Social Sciences Academic Press 2025”，提示该英文版版权标注与社科文献侧存在权利关系（例如：中文版出版社/权利代理方授权英文版；或英文版版权标注按合作协议呈现）。

6) 风险点与建议（用于国际出版/再授权判断）

英文版是否独占、覆盖地域与期限：需向社科文献与/或作者调取外文授权合同确认（尤其是英语全球/区域独占、电子书/纸书权利范围、再许可条款）。英文版已存在意味着再次英文出版可能受限或需走再授权。

修订版内容覆盖差异：英文版出版时间为 2025；但是否基于“2018修订版”全文翻译，需比对目录/版本说明与合同约定（公开页未直接声明对应中文版本号）。

建议最小核验清单：

作者—中文出版社出版合同（含外文权条款）

英文版授权合同（授权方、被授权方、地域、期限、独占/非独占、载体）

译者合同（翻译作品著作权/报酬/署名/再使用）


报告二：吴毅《小镇喧嚣：一个乡镇政治运作的演绎与阐释》
1) 调查目标

核验该书是否已存在海外出版的英文版（整本），并梳理公开可见的权利链节点。

2) 标的作品信息（公开书目线索：以海外书目库为准）

在 WorldCat 书目页可检索到该书的版本信息（所示为中文印刷本条目）：

题名：小镇喧嚣：一个乡镇政治运作的演绎与阐释

作者：吴毅

载体/语言：Printed book, Chinese

出版者：生活·读书·新知三联书店（北京）

年份：2018（书目页所示版本）

ISBN：9787807682158 / 7807682159

同时在 Amazon 的商品信息中，该书亦以 Chinese Edition 形式出现（并非英文版）。

3) 检索范围与方法（公开信息）

使用中文书名/作者、英文直译关键词（Noisy Town / Uproar in a Small Town / township politics）检索；

重点核对：WorldCat 是否存在英文语种版本条目、主流海外出版社/图书平台是否存在英文 ISBN 版本。

4) 核验结果：未发现海外英文版（整本）

截至本次公开检索：

WorldCat 可见条目为中文版本（语言标注 Chinese）；未在该条目中看到英文语种版本的并列信息。

Amazon 可见为 Chinese Edition 商品页。

结论（就“是否已有海外英文版出版”）：未检索到。
说明：这是“公开检索未发现”的结论，并不等同于法律意义上的“绝对不存在”；若该书曾以小范围学术译本/机构内部出版/非主流渠道发行，可能不易被通用数据库收录。

5) 公开信息可推断的权利链节点（待合同核实）

原始著作权人（推定）：作者吴毅。

中文出版权/发行链节点（可见）：三联书店（生活·读书·新知三联书店）中文版本（WorldCat 书目所示）。

英文版链节点：未发现可核验的“整本英文版出版方/ISBN/出版社页面”，故权利链在“英文出版节点”处为空缺（待权利人确认是否曾授权翻译）。

6) 风险点与建议

若计划英文出版：建议先向三联书店/作者核验外文（尤其英语）授权历史，包括是否曾签署但未出版、是否授予期刊/节选翻译权等。

最小核验清单：

作者—出版社出版合同（外文权归属与代理条款）

版权输出/对外授权台账（是否曾对英语授权、授权对象、期限/地域）

若存在节译：节译授权范围是否影响整本翻译（通常不当然影响，但需核实排他条款）

报告三：赵树凯《乡镇治理与政府制度化》
1) 调查目标

核验该书是否已存在海外出版的英文版（整本），并梳理公开可见的权利链节点。

2) 标的作品信息（中文原版）

从商务印书馆官网书目页可见（所示为平装版本页面）：

书名：乡镇治理与政府制度化（平装）

出版时间：2012年07月（页面所示）

页数：387

ISBN：978-7-100-07534-3

同时，作者在公开文章中回顾该书版本沿革：2010年12月出版、2012年8月再版、2018年8月修订版，并提及英文版出版情况。

3) 核验结果：已发现海外英文版（整本）

在 Cambridge Core（《The China Quarterly》书评条目）可核验到英文版图书信息：

英文书名：Township Governance and Institutionalization in China

作者：Shukai Zhao

出版地/出版社：Singapore: World Scientific

年份：2013

ISBN：978-981-4405-91-1

此外，作者公开文章明确指出：该书经商务印书馆推荐入选相关对外推广书目，并由 World Scientific 于 2013 年出版英文版。

结论（就“是否已有海外英文版出版”）：是。 至少在 2013 年已由 World Scientific（新加坡）出版英文版。

4) 公开信息可推断的权利链节点（待合同核实）

原始著作权人（推定）：作者赵树凯。

中文出版权节点（可见）：商务印书馆中文版本（官网 ISBN 978-7-100-07534-3；作者回顾中提及 2010 首版/2012 再版/2018 修订）。

英文版节点（可见）：World Scientific（新加坡）出版英文版（2013；ISBN 978-981-4405-91-1）。

可能的输出路径（线索级）：作者披露“经商务印书馆推荐”实现英文版出版，表明商务印书馆可能在对外版权输出中承担了推荐/代理/对接角色之一（具体权利主体与授权方式需合同核验）。

5) 风险点与建议

英文版已存在：若拟再做英文版（新版/修订版/平装再版/二次授权），需核验：

2013 英文版授权是否为全球英文独占、是否包含电子/纸书、授权期限是否到期、是否可再许可或需回收权利。

版本差异：中文存在修订版（2018）线索，英文版（2013）大概率基于更早中文版本；若计划输出“修订版英文版”，可能需要重新谈判（但仍受原英文授权条款约束）。

最小核验清单：

商务印书馆与作者合同（外文权）

商务印书馆（或权利代理方）—World Scientific 英文授权合同（独占/期限/地域/载体）

是否存在后续英文再版/再授权记录（含电子平台上架范围）

总结对比（仅就“海外英文版是否已出版”这一核心问题）

张静《基层政权：乡村制度诸问题（2018年修订版）》：已存在海外英文版（Palgrave Macmillan Singapore / Springer Nature，2025）。

吴毅《小镇喧嚣》：公开检索未发现海外英文版整本（检索到的为中文版本条目）。

赵树凯《乡镇治理与政府制度化》：已存在海外英文版（World Scientific，新加坡，2013）。
基于版权信息标注，可初步推断权利链为：作者张静（原始著作权人）→ 社会科学文献出版社（中文出版方及英文版版权标注方，很可能拥有外文版权或独家代理权）→ Palgrave Macmillan Singapore（被授权出版方）。需通过合同核实社科文献出版社获得作者授权的范围及其与Palgrave Macmillan授权合同的具体条款。另外，英文版节点（可见）：World Scientific（被授权出版方）。权利代理线索：作者提及‘经商务印书馆推荐’，商务印书馆很可能扮演了版权输出代理方的角色。需核实作者与商务印书馆的合同中，外文版权是否独家授予或委托给商务印书馆行使。",2026-02-23T20:14:20.977979
s2,t2.1,file_meta,fileMeta,未选择文件,2026-02-23T20:14:20.977979
s2,t2.1,field,rights_availability_result,可授权,2026-02-23T20:14:20.977979
s2,t2.1,field,rights_chain_author_1,吴毅,2026-02-23T20:14:20.977979
s2,t2.1,field,rights_chain_publisher_1,生活·读书·新知三联书店,2026-02-23T20:14:20.977979
s2,t2.1,field,rights_chain_agent_1,生活·读书·新知三联书店,2026-02-23T20:14:20.977979
s2,t2.1,field,rights_chain_author_2,张静,2026-02-23T20:14:20.977979
s2,t2.1,field,rights_chain_publisher_2,社会科学文献出版社,2026-02-23T20:14:20.977979
s2,t2.1,field,rights_chain_agent_2,Palgrave Macmillan Singapore（Springer Nature 平台）,2026-02-23T20:14:20.977979
s2,t2.1,field,rights_chain_status_2,Copyright Information: Social Sciences Academic Press 2025,2026-02-23T20:14:20.977979
s2,t2.1,field,rights_chain_author_3,赵树凯,2026-02-23T20:14:20.977979
s2,t2.1,field,rights_chain_publisher_3,商务印书馆,2026-02-23T20:14:20.977979
s2,t2.1,field,rights_chain_agent_3,Singapore: World Scientific,2026-02-23T20:14:20.977979
s2,t2.1,field,rights_chain_status_3,World Scientific（新加坡）,2026-02-23T20:14:20.977979
